SN,base_bbl,creator,status,Notes
1,1008660048,DFO,PUBLISHED,
2,1008950085,DFO,PUBLISHED,
3,1010090019,DFO,PUBLISHED,
4,1010100010,DFO,COMPLETED,
5,1010100025,DFO,PUBLISHED,
6,1010100029,DFO,PUBLISHED,
7,1010100036,DFO,PUBLISHED,
8,1010290014,DFO,COMPLETED,
9,1010290019,DFO,PUBLISHED,
10,1010290023,DFO,PUBLISHED,
11,1010290043,DFO,PUBLISHED,
12,1010290047,DFO,PUBLISHED,
13,1010340022,DFO,PUBLISHED,Jin
14,1012700056,DFO,PUBLISHED,
15,1012720017,DFO,PUBLISHED,
16,1013130056,DFO,PUBLISHED,Jin
17,1013160005,DFO,PUBLISHED,
18,1013270001,DFO,PUBLISHED,
19,1013740036,DFO,PUBLISHED,
20,1013750037,DFO,PUBLISHED,
21,1018330001,DFO,PUBLISHED,
22,2030040020,DFO,PUBLISHED,
23,1000180027,DOF,PUBLISHED,
24,1000330022,DOF,PUBLISHED,
25,1003440139,DOF,PUBLISHED,
26,1004050048,DOF,PUBLISHED,
27,1006890017,ESRI,IN PROGRESS,
28,1006910029,ESRI,IN PROGRESS,
29,1006920007,ESRI,IN PROGRESS,
30,1006930001,ESRI,IN PROGRESS,
31,1006940005,ESRI,IN PROGRESS,
32,1006950007,ESRI,IN PROGRESS,
33,1006950039,ESRI,IN PROGRESS,
34,1006980049,ESRI,IN PROGRESS,
35,1007010024,ESRI,IN PROGRESS,
36,1007180080,ESRI,IN PROGRESS,
37,1007220051,ESRI,IN PROGRESS,
38,1007230041,ESRI,IN PROGRESS,
39,1007380010,ESRI,IN PROGRESS,
40,1007550040,ESRI,IN PROGRESS,
41,1007580016,ESRI,IN PROGRESS,
42,1007730001,ESRI,IN PROGRESS,
43,1010180001,ESRI,COMPLETED,
44,1010200001,ESRI,COMPLETED,
45,1010200029,ESRI,PUBLISHED,
46,1010210010,ESRI,PUBLISHED,
47,1010210019,ESRI,PUBLISHED,
48,1010370044,ESRI,PUBLISHED,
49,1010380035,ESRI,PUBLISHED,
50,1010420028,ESRI,PUBLISHED,
51,1010420037,ESRI,PUBLISHED,
52,1010420044,ESRI,PUBLISHED,
53,1010510001,ESRI,COMPLETED,
54,1010580044,ESRI,PUBLISHED,
55,1010600014,ESRI,COMPLETED,
56,1010610023,ESRI,PUBLISHED,
57,1010610046,ESRI,PUBLISHED,
58,1010620017,ESRI,COMPLETED,
59,1010730020,ESRI,COMPLETED,
60,1010730040,ESRI,COMPLETED,
61,1010750018,ESRI,PUBLISHED,
62,1010750023,ESRI,COMPLETED,
63,1010760001,ESRI,COMPLETED,
64,1010770010,ESRI,PUBLISHED,
65,1010770043,ESRI,COMPLETED,
66,1010800102,ESRI,PUBLISHED,
67,1010810001,ESRI,PUBLISHED,
68,1010810050,ESRI,PUBLISHED,
69,1010900020,ESRI,PUBLISHED,
70,1011540117,ESRI,COMPLETED,
71,1011540151,ESRI,PUBLISHED,
72,1011710135,ESRI,PUBLISHED,
73,1011710140,ESRI,PUBLISHED,
74,1011710150,ESRI,PUBLISHED,
75,1011710154,ESRI,PUBLISHED,
76,1000160035,LiRO,COMPLETED,
77,1000160042,LiRO,COMPLETED,
78,1000160070,LiRO,PUBLISHED,
79,1000230007,LiRO,PUBLISHED,
80,1000240032,LiRO,PUBLISHED,
81,1000250035,LiRO,IN PROGRESS,
82,1000720002,LiRO,PUBLISHED,
83,1001060004,LiRO,PUBLISHED,
84,1004270006,LiRO,PUBLISHED,
85,1004270010,LiRO,PUBLISHED,
86,1004270011,LiRO,COMPLETED,
87,1004270012,LiRO,COMPLETED,
88,1004270013,LiRO,COMPLETED,
89,1004270030,LiRO,COMPLETED,
90,1004270200,LiRO,COMPLETED,
91,1008830076,LiRO,COMPLETED,
92,1000160080,LiRO,COMPLETED,
93,1000280017,DOF,PUBLISHED,
94,1000440008,LiRO,PUBLISHED,
95,1000530023,LiRO,PUBLISHED,
96,1000530028,LiRO,PUBLISHED,
97,1000680033,LiRO,PUBLISHED,
98,1000780010,DFO,PUBLISHED,
99,1000790001,LiRO,PUBLISHED,
100,1000790008,LiRO,COMPLETED,
101,1000900007,LiRO,PUBLISHED,
102,1010290050,DFO,PUBLISHED,
103,1012720036,DFO,PUBLISHED,
104,1013250045,DFO,PUBLISHED,
105,1013320045,DFO,COMPLETED,
106,1006910029,ESRI,IN PROGRESS,
